Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,217204106,CPRT ,"6,262,550","390,532,618.00",0.261,Copart Inc,Common Stock,Industrials,01/11/2023
QQQ,92345Y106,VRSK ,"2,056,256","383,430,056.32",0.257,Verisk Analytics Inc,Common Stock,Industrials,01/11/2023
QQQ,311900104,FAST ,"7,530,814","369,762,967.40",0.248,Fastenal Co,Common Stock,Industrials,01/11/2023
QQQ,21037T109,CEG ,"4,299,608","361,640,028.88",0.242,Constellation Energy Corp,Common Stock,Utilities,01/11/2023
QQQ,278642103,EBAY ,"7,135,076","332,565,892.36",0.223,eBay Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,25278X109,FANG ,"2,314,097","329,157,157.28",0.220,Diamondback Energy Inc,Common Stock,Energy,01/11/2023
QQQ,81181C104,SGEN ,"2,441,161","322,184,428.78",0.216,Seagen Inc,Common Stock,Health Care,01/11/2023
QQQ,82968B103,SIRI ,"51,140,826","306,844,956.00",0.205,Sirius XM Holdings Inc,Common Stock,Communication Services,01/11/2023
QQQ,03662Q105,ANSS ,"1,145,457","288,838,437.12",0.193,ANSYS Inc,Common Stock,Information Technology,01/11/2023
QQQ,22788C105,CRWD ,"2,869,994","278,389,418.00",0.186,Crowdstrike Holdings Inc,Common Stock,Information Technology,01/11/2023
QQQ,049468101,TEAM ,"1,949,563","276,409,042.14",0.185,Atlassian Corp,Common Stock,Information Technology,01/11/2023
QQQ,23804L103,DDOG ,"3,839,945","265,071,403.35",0.177,Datadog Inc,Common Stock,Information Technology,01/11/2023
QQQ,016255101,ALGN ,"1,027,123","240,511,121.68",0.161,Align Technology Inc,Common Stock,Health Care,01/11/2023
QQQ,98980L101,ZM ,"3,229,944","226,128,379.44",0.151,Zoom Video Communications Inc,Common Stock,Information Technology,01/11/2023
QQQ,76954A103,RIVN ,"12,006,045","205,063,248.60",0.137,Rivian Automotive Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,98980G102,ZS ,"1,896,175","204,881,708.75",0.137,Zscaler Inc,Common Stock,Information Technology,01/11/2023
QQQ,549498103,LCID ,"22,094,846","175,212,128.78",0.117,Lucid Group Inc,Common Stock,Consumer Discretionary,01/11/2023
